GEO_ID,NAME,S1901_C01_013E
51001,"Accomack County, Virginia",63100
51003,"Albemarle County, Virginia",113758
51005,"Alleghany County, Virginia",62034
51007,"Amelia County, Virginia",79721
51009,"Amherst County, Virginia",66613
51011,"Appomattox County, Virginia",71750
51013,"Arlington County, Virginia",154331
51015,"Augusta County, Virginia",76323
51017,"Bath County, Virginia",61939
51019,"Bedford County, Virginia",82748
51021,"Bland County, Virginia",61815
51023,"Botetourt County, Virginia",88162
51025,"Brunswick County, Virginia",54587
51027,"Buchanan County, Virginia",45295
51029,"Buckingham County, Virginia",56906
51031,"Campbell County, Virginia",64810
51033,"Caroline County, Virginia",82521
51035,"Carroll County, Virginia",58974
51036,"Charles City County, Virginia",83035
51037,"Charlotte County, Virginia",54952
51041,"Chesterfield County, Virginia",101518
51043,"Clarke County, Virginia",105454
51045,"Craig County, Virginia",65971
51047,"Culpeper County, Virginia",93110
51049,"Cumberland County, Virginia",59889
51051,"Dickenson County, Virginia",57700
51053,"Dinwiddie County, Virginia",75608
51057,"Essex County, Virginia",62500
51059,"Fairfax County, Virginia",157726
51061,"Fauquier County, Virginia",124756
51063,"Floyd County, Virginia",62691
51065,"Fluvanna County, Virginia",101489
51067,"Franklin County, Virginia",73280
51069,"Frederick County, Virginia",93707
51071,"Giles County, Virginia",63802
51073,"Gloucester County, Virginia",83482
51075,"Goochland County, Virginia",134904
51077,"Grayson County, Virginia",50190
51079,"Greene County, Virginia",82593
51081,"Greensville County, Virginia",57215
51083,"Halifax County, Virginia",56329
51085,"Hanover County, Virginia",108752
51087,"Henrico County, Virginia",97183
51089,"Henry County, Virginia",50970
51091,"Highland County, Virginia",63998
51093,"Isle of Wight County, Virginia",91535
51095,"James City County, Virginia",111437
51097,"King and Queen County, Virginia",76261
51099,"King George County, Virginia",107543
51101,"King William County, Virginia",79850
51103,"Lancaster County, Virginia",83097
51105,"Lee County, Virginia",48605
51107,"Loudoun County, Virginia",167684
51109,"Louisa County, Virginia",84207
51111,"Lunenburg County, Virginia",53065
51113,"Madison County, Virginia",78197
51115,"Mathews County, Virginia",81363
51117,"Mecklenburg County, Virginia",59946
51119,"Middlesex County, Virginia",70255
51121,"Montgomery County, Virginia",78575
51125,"Nelson County, Virginia",82523
51127,"New Kent County, Virginia",101297
51131,"Northampton County, Virginia",64936
51133,"Northumberland County, Virginia",80208
51135,"Nottoway County, Virginia",67917
51137,"Orange County, Virginia",82025
51139,"Page County, Virginia",62028
51141,"Patrick County, Virginia",54469
51143,"Pittsylvania County, Virginia",61223
51145,"Powhatan County, Virginia",104561
51147,"Prince Edward County, Virginia",62736
51149,"Prince George County, Virginia",88177
51153,"Prince William County, Virginia",127287
51155,"Pulaski County, Virginia",65261
51157,"Rappahannock County, Virginia",101971
51159,"Richmond County, Virginia",62594
51161,"Roanoke County, Virginia",87906
51163,"Rockbridge County, Virginia",73807
51165,"Rockingham County, Virginia",79865
51167,"Russell County, Virginia",51299
51169,"Scott County, Virginia",53469
51171,"Shenandoah County, Virginia",69718
51173,"Smyth County, Virginia",50876
51175,"Southampton County, Virginia",68154
51177,"Spotsylvania County, Virginia",106814
51179,"Stafford County, Virginia",127009
51181,"Surry County, Virginia",70125
51183,"Sussex County, Virginia",60202
51185,"Tazewell County, Virginia",57165
51187,"Warren County, Virginia",84701
51191,"Washington County, Virginia",64735
51193,"Westmoreland County, Virginia",75030
51195,"Wise County, Virginia",52791
51197,"Wythe County, Virginia",64960
51199,"York County, Virginia",108630
51510,"Alexandria city, Virginia",135100
51520,"Bristol city, Virginia",53193
51530,"Buena Vista city, Virginia",55417
51540,"Charlottesville city, Virginia",93251
51550,"Chesapeake city, Virginia",97038
51570,"Colonial Heights city, Virginia",68797
51580,"Covington city, Virginia",57657
51590,"Danville city, Virginia",51599
51595,"Emporia city, Virginia",46692
51600,"Fairfax city, Virginia",138291
51610,"Falls Church city, Virginia",181261
51620,"Franklin city, Virginia",53105
51630,"Fredericksburg city, Virginia",89208
51640,"Galax city, Virginia",53117
51650,"Hampton city, Virginia",72086
51660,"Harrisonburg city, Virginia",65667
51670,"Hopewell city, Virginia",53893
51678,"Lexington city, Virginia",57639
51680,"Lynchburg city, Virginia",63882
51683,"Manassas city, Virginia",97250
51685,"Manassas Park city, Virginia",107214
51690,"Martinsville city, Virginia",53176
51700,"Newport News city, Virginia",68792
51710,"Norfolk city, Virginia",72315
51720,"Norton city, Virginia",48266
51730,"Petersburg city, Virginia",53064
51735,"Poquoson city, Virginia",104312
51740,"Portsmouth city, Virginia",63882
51750,"Radford city, Virginia",56946
51760,"Richmond city, Virginia",76182
51770,"Roanoke city, Virginia",60914
51775,"Salem city, Virginia",78216
51790,"Staunton city, Virginia",69203
51800,"Suffolk city, Virginia",92145
51810,"Virginia Beach city, Virginia",96936
51820,"Waynesboro city, Virginia",62228
51830,"Williamsburg city, Virginia",89601
51840,"Winchester city, Virginia",78498